,exchange,cal_date,is_open
0,SSE,20190101,0
1,SSE,20190102,1
2,SSE,20190103,1
3,SSE,20190104,1
4,SSE,20190105,0
5,SSE,20190106,0
6,SSE,20190107,1
7,SSE,20190108,1
8,SSE,20190109,1
9,SSE,20190110,1
10,SSE,20190111,1
11,SSE,20190112,0
12,SSE,20190113,0
13,SSE,20190114,1
14,SSE,20190115,1
15,SSE,20190116,1
16,SSE,20190117,1
17,SSE,20190118,1
18,SSE,20190119,0
19,SSE,20190120,0
20,SSE,20190121,1
21,SSE,20190122,1
22,SSE,20190123,1
23,SSE,20190124,1
24,SSE,20190125,1
25,SSE,20190126,0
26,SSE,20190127,0
27,SSE,20190128,1
28,SSE,20190129,1
29,SSE,20190130,1
30,SSE,20190131,1
31,SSE,20190201,1
32,SSE,20190202,0
33,SSE,20190203,0
34,SSE,20190204,0
35,SSE,20190205,0
36,SSE,20190206,0
37,SSE,20190207,0
38,SSE,20190208,0
39,SSE,20190209,0
40,SSE,20190210,0
41,SSE,20190211,1
42,SSE,20190212,1
43,SSE,20190213,1
44,SSE,20190214,1
45,SSE,20190215,1
46,SSE,20190216,0
47,SSE,20190217,0
48,SSE,20190218,1
49,SSE,20190219,1
50,SSE,20190220,1
51,SSE,20190221,1
52,SSE,20190222,1
53,SSE,20190223,0
54,SSE,20190224,0
55,SSE,20190225,1
56,SSE,20190226,1
57,SSE,20190227,1
58,SSE,20190228,1
59,SSE,20190301,1
60,SSE,20190302,0
61,SSE,20190303,0
62,SSE,20190304,1
63,SSE,20190305,1
64,SSE,20190306,1
65,SSE,20190307,1
66,SSE,20190308,1
67,SSE,20190309,0
68,SSE,20190310,0
69,SSE,20190311,1
70,SSE,20190312,1
71,SSE,20190313,1
72,SSE,20190314,1
73,SSE,20190315,1
74,SSE,20190316,0
75,SSE,20190317,0
76,SSE,20190318,1
77,SSE,20190319,1
78,SSE,20190320,1
79,SSE,20190321,1
80,SSE,20190322,1
81,SSE,20190323,0
82,SSE,20190324,0
83,SSE,20190325,1
84,SSE,20190326,1
85,SSE,20190327,1
86,SSE,20190328,1
87,SSE,20190329,1
88,SSE,20190330,0
89,SSE,20190331,0
90,SSE,20190401,1
91,SSE,20190402,1
92,SSE,20190403,1
93,SSE,20190404,1
94,SSE,20190405,0
95,SSE,20190406,0
96,SSE,20190407,0
97,SSE,20190408,1
98,SSE,20190409,1
99,SSE,20190410,1
100,SSE,20190411,1
101,SSE,20190412,1
102,SSE,20190413,0
103,SSE,20190414,0
104,SSE,20190415,1
105,SSE,20190416,1
106,SSE,20190417,1
107,SSE,20190418,1
108,SSE,20190419,1
109,SSE,20190420,0
110,SSE,20190421,0
111,SSE,20190422,1
112,SSE,20190423,1
113,SSE,20190424,1
114,SSE,20190425,1
115,SSE,20190426,1
116,SSE,20190427,0
117,SSE,20190428,0
118,SSE,20190429,1
119,SSE,20190430,1
120,SSE,20190501,0
121,SSE,20190502,0
122,SSE,20190503,0
123,SSE,20190504,0
124,SSE,20190505,0
125,SSE,20190506,1
126,SSE,20190507,1
127,SSE,20190508,1
128,SSE,20190509,1
129,SSE,20190510,1
130,SSE,20190511,0
131,SSE,20190512,0
132,SSE,20190513,1
133,SSE,20190514,1
134,SSE,20190515,1
135,SSE,20190516,1
136,SSE,20190517,1
137,SSE,20190518,0
138,SSE,20190519,0
139,SSE,20190520,1
140,SSE,20190521,1
141,SSE,20190522,1
142,SSE,20190523,1
143,SSE,20190524,1
144,SSE,20190525,0
145,SSE,20190526,0
146,SSE,20190527,1
147,SSE,20190528,1
148,SSE,20190529,1
149,SSE,20190530,1
150,SSE,20190531,1
151,SSE,20190601,0
152,SSE,20190602,0
153,SSE,20190603,1
154,SSE,20190604,1
155,SSE,20190605,1
156,SSE,20190606,1
157,SSE,20190607,0
158,SSE,20190608,0
159,SSE,20190609,0
160,SSE,20190610,1
161,SSE,20190611,1
162,SSE,20190612,1
163,SSE,20190613,1
164,SSE,20190614,1
165,SSE,20190615,0
166,SSE,20190616,0
167,SSE,20190617,1
168,SSE,20190618,1
169,SSE,20190619,1
170,SSE,20190620,1
171,SSE,20190621,1
172,SSE,20190622,0
173,SSE,20190623,0
174,SSE,20190624,1
175,SSE,20190625,1
176,SSE,20190626,1
177,SSE,20190627,1
178,SSE,20190628,1
179,SSE,20190629,0
180,SSE,20190630,0
181,SSE,20190701,1
182,SSE,20190702,1
183,SSE,20190703,1
184,SSE,20190704,1
185,SSE,20190705,1
186,SSE,20190706,0
187,SSE,20190707,0
188,SSE,20190708,1
189,SSE,20190709,1
190,SSE,20190710,1
191,SSE,20190711,1
192,SSE,20190712,1
193,SSE,20190713,0
194,SSE,20190714,0
195,SSE,20190715,1
196,SSE,20190716,1
197,SSE,20190717,1
198,SSE,20190718,1
199,SSE,20190719,1
200,SSE,20190720,0
201,SSE,20190721,0
202,SSE,20190722,1
203,SSE,20190723,1
204,SSE,20190724,1
205,SSE,20190725,1
206,SSE,20190726,1
207,SSE,20190727,0
208,SSE,20190728,0
209,SSE,20190729,1
210,SSE,20190730,1
211,SSE,20190731,1
212,SSE,20190801,1
213,SSE,20190802,1
214,SSE,20190803,0
215,SSE,20190804,0
216,SSE,20190805,1
217,SSE,20190806,1
218,SSE,20190807,1
219,SSE,20190808,1
220,SSE,20190809,1
221,SSE,20190810,0
222,SSE,20190811,0
223,SSE,20190812,1
224,SSE,20190813,1
225,SSE,20190814,1
226,SSE,20190815,1
227,SSE,20190816,1
228,SSE,20190817,0
229,SSE,20190818,0
230,SSE,20190819,1
231,SSE,20190820,1
232,SSE,20190821,1
233,SSE,20190822,1
234,SSE,20190823,1
235,SSE,20190824,0
236,SSE,20190825,0
237,SSE,20190826,1
238,SSE,20190827,1
239,SSE,20190828,1
240,SSE,20190829,1
241,SSE,20190830,1
242,SSE,20190831,0
243,SSE,20190901,0
244,SSE,20190902,1
245,SSE,20190903,1
246,SSE,20190904,1
247,SSE,20190905,1
248,SSE,20190906,1
249,SSE,20190907,0
250,SSE,20190908,0
251,SSE,20190909,1
252,SSE,20190910,1
253,SSE,20190911,1
254,SSE,20190912,1
255,SSE,20190913,0
256,SSE,20190914,0
257,SSE,20190915,0
258,SSE,20190916,1
259,SSE,20190917,1
260,SSE,20190918,1
261,SSE,20190919,1
262,SSE,20190920,1
263,SSE,20190921,0
264,SSE,20190922,0
265,SSE,20190923,1
266,SSE,20190924,1
267,SSE,20190925,1
268,SSE,20190926,1
269,SSE,20190927,1
270,SSE,20190928,0
271,SSE,20190929,0
272,SSE,20190930,1
273,SSE,20191001,0
274,SSE,20191002,0
275,SSE,20191003,0
276,SSE,20191004,0
277,SSE,20191005,0
278,SSE,20191006,0
279,SSE,20191007,0
280,SSE,20191008,1
281,SSE,20191009,1
282,SSE,20191010,1
283,SSE,20191011,1
284,SSE,20191012,0
285,SSE,20191013,0
286,SSE,20191014,1
287,SSE,20191015,1
288,SSE,20191016,1
289,SSE,20191017,1
290,SSE,20191018,1
291,SSE,20191019,0
292,SSE,20191020,0
293,SSE,20191021,1
294,SSE,20191022,1
295,SSE,20191023,1
296,SSE,20191024,1
297,SSE,20191025,1
298,SSE,20191026,0
299,SSE,20191027,0
300,SSE,20191028,1
301,SSE,20191029,1
302,SSE,20191030,1
303,SSE,20191031,1
304,SSE,20191101,1
305,SSE,20191102,0
306,SSE,20191103,0
307,SSE,20191104,1
308,SSE,20191105,1
309,SSE,20191106,1
310,SSE,20191107,1
311,SSE,20191108,1
312,SSE,20191109,0
313,SSE,20191110,0
314,SSE,20191111,1
315,SSE,20191112,1
316,SSE,20191113,1
317,SSE,20191114,1
318,SSE,20191115,1
319,SSE,20191116,0
320,SSE,20191117,0
321,SSE,20191118,1
322,SSE,20191119,1
323,SSE,20191120,1
324,SSE,20191121,1
325,SSE,20191122,1
326,SSE,20191123,0
327,SSE,20191124,0
328,SSE,20191125,1
329,SSE,20191126,1
330,SSE,20191127,1
331,SSE,20191128,1
332,SSE,20191129,1
333,SSE,20191130,0
334,SSE,20191201,0
335,SSE,20191202,1
336,SSE,20191203,1
337,SSE,20191204,1
338,SSE,20191205,1
339,SSE,20191206,1
340,SSE,20191207,0
341,SSE,20191208,0
342,SSE,20191209,1
343,SSE,20191210,1
344,SSE,20191211,1
345,SSE,20191212,1
346,SSE,20191213,1
347,SSE,20191214,0
348,SSE,20191215,0
349,SSE,20191216,1
350,SSE,20191217,1
351,SSE,20191218,1
352,SSE,20191219,1
353,SSE,20191220,1
354,SSE,20191221,0
355,SSE,20191222,0
356,SSE,20191223,1
357,SSE,20191224,1
358,SSE,20191225,1
359,SSE,20191226,1
360,SSE,20191227,1
361,SSE,20191228,0
362,SSE,20191229,0
363,SSE,20191230,1
364,SSE,20191231,1
